id_anon,sex2,age_class2,age2,infant2,Icompare,bout,subbout,direction,risk,above4,above10
1,M,A,19,N,M,3,3.01,descent,0,0,0
1,M,A,19,N,M,3,3.02,descent,1,0,0
2,M,A,25,N,M,4,4.01,descent,0,0,0
2,M,A,25,N,M,4,4.02,descent,0,0,0
2,M,A,25,N,M,4,4.03,descent,0,0,0
2,M,A,25,N,M,4,4.04,descent,0,0,0
3,F,A,20,N,without,5,5.01,descent,0,0,0
4,M,A,48,N,M,6,6.01,descent,0,0,0
4,M,A,48,N,M,6,6.02,descent,0,0,0
5,M,A,17,N,M,7,7.01,descent,0,0,0
5,M,A,17,N,M,7,7.02,descent,0,0,0
5,M,A,17,N,M,7,7.03,descent,0,0,0
6,M,A,36,N,M,8,8.01,descent,0,0,0
6,M,A,36,N,M,8,8.02,descent,0,0,0
6,M,A,36,N,M,8,8.03,descent,0,0,0
6,M,A,36,N,M,8,8.04,descent,0,0,0
6,M,A,36,N,M,8,8.05,descent,1,0,0
7,M,A,30,N,M,11,11.01,descent,0,1,0
3,F,A,20,N,without,12,12.01,descent,0,0,0
8,M,A,31,N,M,13,13.01,descent,0,0,0
8,M,A,31,N,M,13,13.02,descent,0,0,0
8,M,A,31,N,M,13,13.03,descent,0,0,0
9,M,A,20,N,M,14,14.01,descent,0,0,0
10,M,A,26,N,M,15,15.01,descent,0,1,0
10,M,A,26,N,M,15,15.02,descent,0,1,0
10,M,A,26,N,M,15,15.03,descent,1,1,0
3,F,A,20,N,without,17,17.01,descent,0,1,0
3,F,A,20,N,without,17,17.03,descent,0,0,0
3,F,A,20,N,without,17,17.05,descent,0,0,0
3,F,A,20,N,without,17,17.07,descent,0,0,0
3,F,A,20,N,without,17,17.08,descent,0,0,0
3,F,A,20,N,without,17,17.09,descent,1,0,0
2,M,A,25,N,M,19,19.01,descent,0,0,0
12,M,A,23,N,M,20,20.01,descent,0,0,0
13,M,A,31,N,M,21,21.01,descent,0,0,0
13,M,A,31,N,M,21,21.02,descent,0,0,0
15,F,A,43,N,without,23,23.01,descent,1,0,0
15,F,A,43,N,without,23,23.02,descent,1,0,0
7,M,A,30,N,M,26,26.01,descent,0,1,0
7,M,A,30,N,M,26,26.02,descent,0,0,0
4,M,A,48,N,M,29,29.01,descent,0,0,0
4,M,A,48,N,M,29,29.02,descent,0,0,0
4,M,A,48,N,M,29,29.03,descent,0,0,0
17,M,A,15,N,M,30,30.01,descent,0,1,0
18,M,A,18,N,M,35,35.01,descent,0,1,1
10,M,A,26,N,M,36,36.01,descent,0,0,0
19,M,A,29,N,M,38,38.01,descent,0,1,0
19,M,A,29,N,M,38,38.02,descent,0,0,0
9,M,A,20,N,M,39,39.01,descent,0,0,0
9,M,A,20,N,M,39,39.02,descent,0,0,0
22,M,A,27,N,M,46,46.01,descent,0,0,0
9,M,A,20,N,M,47,47.01,descent,0,1,0
9,M,A,20,N,M,47,47.02,descent,0,0,0
9,M,A,20,N,M,47,47.03,descent,1,0,0
7,M,A,30,N,M,49,49.01,descent,1,1,1
7,M,A,30,N,M,49,49.02,descent,0,1,1
4,M,A,48,N,M,50,50.01,descent,0,1,1
23,M,A,35,N,M,51,51.01,descent,0,1,0
19,M,A,29,N,M,52,52.01,descent,0,1,0
24,M,A,23,N,M,53,53.01,descent,0,1,1
24,M,A,23,N,M,53,53.02,descent,0,1,1
24,M,A,23,N,M,53,53.03,descent,0,1,0
9,M,A,20,N,M,59,59.01,descent,0,0,0
9,M,A,20,N,M,59,59.02,descent,0,0,0
4,M,A,48,N,M,60,60.01,descent,0,0,0
4,M,A,48,N,M,60,60.02,descent,0,0,0
4,M,A,48,N,M,60,60.03,descent,0,0,0
4,M,A,48,N,M,60,60.04,descent,0,0,0
23,M,A,35,N,M,61,61.01,descent,0,0,0
23,M,A,35,N,M,61,61.02,descent,0,0,0
23,M,A,35,N,M,61,61.03,descent,0,0,0
23,M,A,35,N,M,61,61.04,descent,0,0,0
23,M,A,35,N,M,61,61.05,descent,0,0,0
25,M,A,24,N,M,63,63.01,descent,0,1,0
17,M,A,15,N,M,65,65.01,descent,0,1,0
17,M,A,15,N,M,65,65.02,descent,0,0,0
26,M,A,19,N,M,67,67.01,descent,0,1,0
26,M,A,19,N,M,67,67.02,descent,0,1,0
26,M,A,19,N,M,67,67.05,descent,0,1,0
26,M,A,19,N,M,67,67.06,descent,0,0,0
26,M,A,19,N,M,67,67.08,descent,0,0,0
7,M,A,30,N,M,69,69.01,descent,0,1,0
7,M,A,30,N,M,69,69.02,descent,0,1,0
8,M,A,31.1,N,M,70,70.01,descent,0,1,0
8,M,A,31.1,N,M,70,70.02,descent,0,0,0
8,M,A,31.1,N,M,70,70.03,descent,0,0,0
2,M,A,25,N,M,71,71.01,descent,0,0,0
2,M,A,25,N,M,71,71.02,descent,0,0,0
2,M,A,25,N,M,71,71.03,descent,0,0,0
23,M,A,35,N,M,72,72.01,descent,0,0,0
3,F,A,20,N,without,75,75.01,descent,0,1,0
3,F,A,20,N,without,75,75.02,descent,0,1,0
9,M,A,20,N,M,76,76.01,descent,0,1,0
9,M,A,20,N,M,76,76.02,descent,0,0,0
9,M,A,20,N,M,76,76.03,descent,1,0,0
9,M,A,20,N,M,76,76.04,descent,1,0,0
24,M,A,23,N,M,82,82.01,descent,0,1,0
27,F,A,21,Y,with,92,92.01,descent,0,0,0
27,F,A,21,Y,with,92,92.02,descent,0,0,0
31,F,A,26,Y,with,136,136.01,descent,0,1,0
31,F,A,26,Y,with,136,136.02,descent,0,1,0
23,M,A,35,N,M,137,137.01,descent,0,1,1
23,M,A,35,N,M,137,137.02,descent,0,1,0
18,M,A,18,N,M,138,138.01,descent,0,1,1
18,M,A,18,N,M,138,138.02,descent,0,1,0
18,M,A,18,N,M,138,138.03,descent,0,1,0
12,M,A,23,N,M,140,140.01,descent,0,1,0
12,M,A,23,N,M,140,140.03,descent,0,1,0
33,F,A,33,Y,with,141,141.01,descent,0,1,1
33,F,A,33,Y,with,141,141.02,descent,0,1,1
33,F,A,33,Y,with,141,141.04,descent,0,0,0
33,F,A,33,Y,with,141,141.05,descent,0,0,0
33,F,A,33,Y,with,141,141.06,descent,0,0,0
35,F,A,51,Y,with,143,143.01,descent,0,1,1
35,F,A,51,Y,with,143,143.02,descent,0,1,1
35,F,A,51,Y,with,143,143.04,descent,0,1,0
36,F,A,15,N,without,144,144.01,descent,0,1,1
36,F,A,15,N,without,144,144.03,descent,0,1,1
3,F,A,20,N,without,145,145.01,descent,0,1,0
3,F,A,20,N,without,145,145.02,descent,0,1,0
3,F,A,20,N,without,145,145.03,descent,0,1,0
3,F,A,20,N,without,145,145.05,descent,0,1,0
3,F,A,20,N,without,145,145.08,descent,0,0,0
6,M,A,36,N,M,146,146.01,descent,0,1,0
6,M,A,36,N,M,146,146.02,descent,0,1,0
6,M,A,36,N,M,146,146.03,descent,0,1,0
25,M,A,24,N,M,149,149.02,descent,0,1,1
25,M,A,24,N,M,149,149.04,descent,0,1,1
9,M,A,20,N,M,150,150.01,descent,0,1,1
9,M,A,20,N,M,150,150.03,descent,0,1,0
37,F,A,6.3,N,without,152,152.01,descent,0,1,0
38,F,A,18,N,without,153,153.01,descent,0,1,0
38,F,A,18,N,without,153,153.03,descent,0,0,0
39,F,A,18,Y,with,155,155.01,descent,0,1,0
39,F,A,18,Y,with,155,155.02,descent,0,1,0
39,F,A,18,Y,with,155,155.03,descent,0,1,0
39,F,A,18,Y,with,155,155.04,descent,1,1,0
39,F,A,18,Y,with,155,155.07,descent,0,1,0
8,M,A,31,N,M,156,156.01,descent,0,1,1
9,M,A,20.1,N,M,171,171.01,descent,0,1,0
9,M,A,20.1,N,M,171,171.02,descent,0,1,0
9,M,A,20.1,N,M,171,171.03,descent,0,0,0
2,M,A,25.1,N,M,173,173.01,descent,0,1,0
2,M,A,25.1,N,M,173,173.02,descent,0,1,0
2,M,A,25.1,N,M,173,173.04,descent,0,1,0
6,M,A,36.1,N,M,174,174.01,descent,0,1,1
6,M,A,36.1,N,M,174,174.03,descent,0,1,0
6,M,A,36.1,N,M,174,174.05,descent,0,1,0
6,M,A,36.1,N,M,174,174.06,descent,0,0,0
6,M,A,36.1,N,M,174,174.07,descent,0,0,0
6,M,A,36.1,N,M,174,174.08,descent,0,0,0
2,M,A,25.1,N,M,175,175.01,descent,0,1,1
2,M,A,25.1,N,M,175,175.02,descent,0,0,0
2,M,A,25.1,N,M,175,175.03,descent,0,0,0
4,M,A,48.1,N,M,181,181.01,descent,0,0,0
4,M,A,48.1,N,M,181,181.02,descent,1,0,0
4,M,A,48.1,N,M,181,181.03,descent,0,0,0
40,M,A,15,N,M,182,182.01,descent,0,1,0
40,M,A,15,N,M,182,182.02,descent,1,1,0
40,M,A,15,N,M,182,182.03,descent,0,0,0
36,F,A,15.2,N,without,184,184.01,descent,0,0,0
36,F,A,15.2,N,without,184,184.02,descent,0,0,0
36,F,A,15.2,N,without,184,184.03,descent,0,0,0
40,M,A,15,N,M,185,185.01,descent,0,0,0
40,M,A,15,N,M,185,185.02,descent,0,0,0
40,M,A,15,N,M,185,185.03,descent,1,0,0
40,M,A,15,N,M,185,185.04,descent,0,0,0
40,M,A,15,N,M,185,185.05,descent,0,0,0
40,M,A,15,N,M,188,188.01,descent,1,0,0
41,M,A,20.1,N,M,191,191.01,descent,0,0,0
41,M,A,20.1,N,M,191,191.03,descent,0,0,0
6,M,A,36.1,N,M,193,193.01,descent,0,0,0
6,M,A,36.1,N,M,193,193.02,descent,0,0,0
6,M,A,36.1,N,M,193,193.03,descent,0,0,0
7,M,A,30.1,N,M,194,194.01,descent,0,0,0
9,M,A,20.1,N,M,197,197.01,descent,0,0,0
9,M,A,20.1,N,M,197,197.02,descent,0,0,0
9,M,A,20.1,N,M,202,202.02,descent,0,1,0
9,M,A,20.1,N,M,202,202.03,descent,0,0,0
36,F,A,15.2,N,without,207,207.01,descent,0,0,0
36,F,A,15.2,N,without,207,207.03,descent,0,0,0
4,M,A,48.1,N,M,208,208.02,descent,0,0,0
9,M,A,20.1,N,M,219,219.01,descent,0,0,0
9,M,A,20.1,N,M,219,219.03,descent,0,0,0
9,M,A,20.1,N,M,219,219.04,descent,0,0,0
9,M,A,20.1,N,M,219,219.05,descent,0,0,0
9,M,A,20.1,N,M,219,219.06,descent,0,0,0
2,M,A,25.1,N,M,221,221.01,descent,0,1,0
2,M,A,25.1,N,M,221,221.02,descent,0,1,0
25,M,A,24.1,N,M,222,222.01,descent,0,0,0
25,M,A,24.1,N,M,222,222.02,descent,0,0,0
4,M,A,48.1,N,M,223,223.02,descent,0,1,0
4,M,A,48.1,N,M,223,223.03,descent,0,1,0
4,M,A,48.1,N,M,223,223.05,descent,0,1,0
4,M,A,48.1,N,M,223,223.07,descent,0,0,0
4,M,A,48.1,N,M,223,223.08,descent,0,0,0
44,F,A,23.6,Y,with,225,225.01,descent,0,1,1
44,F,A,23.6,Y,with,225,225.03,descent,1,1,1
44,F,A,23.6,Y,with,225,225.04,descent,0,1,1
44,F,A,23.6,Y,with,225,225.06,descent,0,1,0
44,F,A,23.6,Y,with,225,225.09,descent,0,1,0
44,F,A,23.6,Y,with,225,225.12,descent,0,1,0
45,M,A,54.1,N,M,226,226.01,descent,0,0,0
50,F,A,35.1,Y,with,255,255.01,descent,0,1,1
50,F,A,35.1,Y,with,255,255.03,descent,0,1,1
50,F,A,35.1,Y,with,262,262.01,descent,0,1,0
50,F,A,35.1,Y,with,262,262.06,descent,0,1,0
50,F,A,35.1,Y,with,262,262.08,descent,0,1,0
50,F,A,35.1,Y,with,262,262.1,descent,0,1,0
50,F,A,35.1,Y,with,262,262.11,descent,0,1,0
1,M,A,18.9,N,M,264,264.01,descent,0,1,0
1,M,A,18.9,N,M,264,264.02,descent,0,1,0
1,M,A,18.9,N,M,264,264.03,descent,0,1,0
1,M,A,18.9,N,M,264,264.06,descent,0,1,0
1,M,A,18.9,N,M,264,264.07,descent,0,1,0
13,M,A,31.1,N,M,265,265.01,descent,0,1,0
13,M,A,31.1,N,M,265,265.02,descent,0,1,0
13,M,A,31.1,N,M,265,265.05,descent,0,1,0
13,M,A,31.1,N,M,265,265.06,descent,0,0,0
52,F,A,43.1,Y,with,266,266.01,descent,0,1,1
52,F,A,43.1,Y,with,266,266.02,descent,0,1,1
52,F,A,43.1,Y,with,266,266.04,descent,0,1,1
52,F,A,43.1,Y,with,266,266.05,descent,0,1,1
52,F,A,43.1,Y,with,266,266.06,descent,0,1,1
52,F,A,43.1,Y,with,266,266.07,descent,0,1,0
54,F,A,25.8,Y,with,268,268.01,descent,0,1,1
54,F,A,25.8,Y,with,268,268.03,descent,0,1,1
54,F,A,25.8,Y,with,268,268.04,descent,0,1,1
55,F,A,28.1,Y,with,269,269.02,descent,0,0,0
58,F,A,22.6,Y,with,273,273.01,descent,0,0,0
60,M,A,43.1,N,M,278,278.01,descent,0,1,0
60,M,A,43.1,N,M,278,278.02,descent,0,1,0
64,M,A,26.1,N,M,291,291.01,descent,0,0,0
64,M,A,26.1,N,M,291,291.02,descent,0,0,0
60,M,A,43.1,N,M,301,301.01,descent,0,0,0
60,M,A,43.1,N,M,301,301.03,descent,0,0,0
31,F,A,26,Y,with,304,304.01,descent,0,1,0
31,F,A,26,Y,with,304,304.03,descent,0,0,0
67,F,A,15.9,Y,with,306,306.01,descent,0,0,0
67,F,A,15.9,Y,with,306,306.02,descent,0,0,0
73,M,A,47.1,N,M,334,334.01,descent,0,1,0
73,M,A,47.1,N,M,334,334.02,descent,0,0,0
73,M,A,47.1,N,M,334,334.04,descent,0,0,0
75,F,A,13.7,N,without,368,368.01,descent,0,0,0
76,F,A,52.1,Y,with,365,365.01,descent,0,1,1
76,F,A,52.1,Y,with,365,365.06,descent,0,1,0
76,F,A,52.1,Y,with,365,365.07,descent,0,1,0
76,F,A,52.1,Y,with,365,365.08,descent,0,1,0
78,M,A,21.1,N,M,370,370.01,descent,0,1,1
78,M,A,21.1,N,M,370,370.04,descent,0,1,0
78,M,A,21.1,N,M,370,370.06,descent,0,1,0
78,M,A,21.1,N,M,370,370.07,descent,0,1,0
78,M,A,21.1,N,M,370,370.08,descent,0,1,0
78,M,A,21.1,N,M,370,370.1,descent,0,1,0
78,M,A,21.1,N,M,370,370.12,descent,0,0,0
2,M,A,25.1,N,M,375,375.01,descent,0,1,1
10,M,A,26.1,N,M,381,381.01,descent,0,0,0
33,F,A,33.1,Y,with,383,383.01,descent,0,1,1
81,F,A,35.1,N,without,385,385.01,descent,0,1,0
81,F,A,35.1,N,without,385,385.03,descent,0,0,0
82,F,A,19,N,without,386,386.02,descent,0,0,0
64,M,A,26.1,N,M,404,404.01,descent,0,1,0
64,M,A,26.1,N,M,404,404.02,descent,0,0,0
86,M,A,15.2,N,M,407,407.01,descent,0,0,0
86,M,A,15.2,N,M,407,407.02,descent,1,0,0
10,M,A,26.1,N,M,420,420.01,descent,0,1,0
10,M,A,26.1,N,M,420,420.02,descent,0,1,0
10,M,A,26.1,N,M,420,420.03,descent,0,1,0
86,M,A,15.1,N,M,421,421.01,descent,0,1,0
86,M,A,15.1,N,M,421,421.02,descent,0,0,0
64,M,A,26.1,N,M,427,427.01,descent,0,1,0
64,M,A,26.1,N,M,427,427.03,descent,0,0,0
90,F,A,19,N,without,432,432.01,descent,0,1,0
90,F,A,19,N,without,432,432.02,descent,0,1,0
90,F,A,19,N,without,432,432.06,descent,1,1,0
90,F,A,19,N,without,432,432.07,descent,0,1,0
90,F,A,19,N,without,432,432.09,descent,1,1,0
90,F,A,19,N,without,432,432.1,descent,0,1,0
90,F,A,19,N,without,432,432.11,descent,0,1,0
90,F,A,19,N,without,432,432.13,descent,0,1,0
90,F,A,19,N,without,432,432.14,descent,1,1,0
90,F,A,19,N,without,432,432.15,descent,0,1,0
90,F,A,19,N,without,432,432.16,descent,0,0,0
31,F,A,26,Y,with,422,422.01,descent,0,0,0
31,F,A,26,Y,with,422,422.02,descent,0,0,0
31,F,A,26,Y,with,422,422.03,descent,0,0,0
92,F,A,54.1,Y,with,433,433.01,descent,0,1,0
92,F,A,54.1,Y,with,433,433.03,descent,0,1,0
92,F,A,54.1,Y,with,433,433.04,descent,1,0,0
92,F,A,54.1,Y,with,433,433.05,descent,0,0,0
38,F,A,18.3,Y,with,435,435.01,descent,0,1,0
38,F,A,18.3,Y,with,435,435.02,descent,0,0,0
38,F,A,18.3,Y,with,435,435.03,descent,0,0,0
6,M,A,36.1,N,M,436,436.01,descent,0,1,1
6,M,A,36.1,N,M,436,436.04,descent,0,1,1
6,M,A,36.1,N,M,436,436.06,descent,0,1,1
94,M,A,33.1,N,M,463,463.01,descent,0,1,0
94,M,A,33.1,N,M,463,463.03,descent,0,1,0
94,M,A,33.1,N,M,463,463.04,descent,1,1,0
94,M,A,33.1,N,M,463,463.05,descent,0,1,0
64,M,A,26.1,N,M,464,464.01,descent,0,1,0
67,F,A,17,N,without,466,466.01,descent,0,1,0
67,F,A,17,N,without,466,466.03,descent,0,1,0
67,F,A,17,N,without,466,466.05,descent,0,0,0
95,F,A,15.7,N,without,467,467.01,descent,0,1,0
95,F,A,15.7,N,without,467,467.03,descent,0,1,0
96,F,A,29.2,Y,with,468,468.02,descent,0,1,0
96,F,A,29.2,Y,with,468,468.03,descent,0,0,0
97,F,A,30.2,Y,with,470,470.01,descent,0,1,0
96,F,A,29.2,N,without,483,483.01,descent,0,1,0
96,F,A,29.2,N,without,483,483.02,descent,0,1,0
96,F,A,29.2,N,without,483,483.03,descent,0,1,0
96,F,A,29.2,N,without,483,483.05,descent,0,0,0
81,F,A,36.2,N,without,485,485.01,descent,0,1,0
81,F,A,36.2,N,without,485,485.03,descent,0,1,0
81,F,A,36.2,N,without,487,487.01,descent,0,1,0
81,F,A,36.2,N,without,487,487.03,descent,0,1,0
81,F,A,36.2,N,without,487,487.05,descent,0,1,0
81,F,A,36.2,N,without,487,487.07,descent,0,1,0
81,F,A,36.2,N,without,487,487.09,descent,0,0,0
102,M,A,22.6,N,M,493,493.01,descent,0,0,0
8,M,A,31.1,N,M,495,495.01,descent,0,1,1
8,M,A,31.1,N,M,495,495.03,descent,0,1,1
8,M,A,31.1,N,M,495,495.04,descent,0,1,1
8,M,A,31.1,N,M,495,495.05,descent,0,1,1
35,F,A,51.1,Y,with,498,498.01,descent,0,1,1
35,F,A,51.1,Y,with,498,498.03,descent,0,1,1
35,F,A,51.1,Y,with,498,498.05,descent,0,1,1
25,M,A,24.1,N,M,513,513.01,descent,0,1,0
25,M,A,24.1,N,M,513,513.03,descent,1,0,0
25,M,A,24.1,N,M,513,513.04,descent,0,0,0
25,M,A,24.1,N,M,513,513.06,descent,0,0,0
25,M,A,24.1,N,M,513,513.07,descent,0,0,0
2,M,A,25.1,N,M,521,521.01,descent,0,1,0
7,M,A,30.1,N,M,523,523.01,descent,0,1,0
12,M,A,23.1,N,M,524,524.01,descent,0,0,0
12,M,A,23.1,N,M,524,524.03,descent,0,0,0
26,M,A,19,N,M,525,525.01,descent,0,0,0
26,M,A,19,N,M,525,525.02,descent,0,0,0
19,M,A,29.1,N,M,532,532.01,descent,0,0,0
6,M,A,36.1,N,M,533,533.01,descent,0,0,0
6,M,A,36.1,N,M,533,533.02,descent,1,0,0
6,M,A,36.1,N,M,533,533.03,descent,0,0,0
25,M,A,24.1,N,M,534,534.01,descent,0,0,0
25,M,A,24.1,N,M,534,534.03,descent,0,0,0
25,M,A,24.1,N,M,534,534.05,descent,0,0,0
25,M,A,24.1,N,M,534,534.06,descent,0,0,0
35,F,A,51.1,Y,with,535,535.01,descent,0,1,0
8,M,A,31.1,N,M,536,536.01,descent,0,0,0
8,M,A,31.1,N,M,536,536.02,descent,1,0,0
8,M,A,31.1,N,M,536,536.03,descent,0,0,0
17,M,A,15,N,M,537,537.01,descent,0,0,0
17,M,A,15,N,M,537,537.03,descent,0,0,0
82,F,A,19,N,without,539,539.01,descent,0,1,0
82,F,A,19,N,without,539,539.02,descent,0,0,0
7,M,A,30.1,N,M,545,545.01,descent,0,0,0
40,M,A,15.1,N,M,546,546.01,descent,0,1,0
9,M,A,20.1,N,M,549,549.01,descent,0,1,0
9,M,A,20.1,N,M,549,549.03,descent,0,0,0
10,M,A,26.1,N,M,559,559.01,descent,0,1,1
10,M,A,26.1,N,M,559,559.02,descent,1,1,1
45,M,A,54.1,N,M,561,561.02,descent,0,1,0
45,M,A,54.1,N,M,561,561.03,descent,1,1,0
45,M,A,54.1,N,M,561,561.04,descent,0,1,0
45,M,A,54.1,N,M,561,561.05,descent,1,1,0
45,M,A,54.1,N,M,561,561.06,descent,0,1,0
45,M,A,54.1,N,M,561,561.08,descent,1,1,0
23,M,A,35.1,N,M,563,563.01,descent,0,1,0
23,M,A,35.1,N,M,563,563.02,descent,0,1,0
23,M,A,35.1,N,M,563,563.03,descent,0,1,0
23,M,A,35.1,N,M,563,563.04,descent,0,0,0
10,M,A,26.1,N,M,564,564.01,descent,0,1,0
10,M,A,26.1,N,M,564,564.02,descent,1,1,0
10,M,A,26.1,N,M,564,564.03,descent,0,1,0
10,M,A,26.1,N,M,564,564.04,descent,0,1,0
26,M,A,19,N,M,565,565.01,descent,0,0,0
18,M,A,17.8,N,M,567,567.01,descent,0,0,0
7,M,A,30.1,N,M,571,571.01,descent,0,0,0
102,M,A,22.6,N,M,584,584.01,descent,0,0,0
2,M,A,25.1,N,M,591,591.01,descent,0,1,0
9,M,A,20.1,N,M,596,596.01,descent,0,1,0
106,M,A,34.1,N,M,604,604.02,descent,0,1,0
54,F,A,25.8,Y,with,606,606.01,descent,0,1,1
54,F,A,25.8,Y,with,606,606.03,descent,0,1,0
1,M,A,18.9,N,M,615,615.01,descent,0,1,0
38,F,A,18.3,Y,with,616,616.01,descent,0,1,0
107,M,A,39.1,N,M,619,619.02,descent,0,0,0
107,M,A,39.1,N,M,619,619.04,descent,0,0,0
40,M,A,15,N,M,621,621.01,descent,0,0,0
40,M,A,15,N,M,621,621.03,descent,0,0,0
40,M,A,15,N,M,621,621.04,descent,0,0,0
40,M,A,15,N,M,621,621.05,descent,0,0,0
40,M,A,15,N,M,621,621.06,descent,0,0,0
17,M,A,15,N,M,622,622.01,descent,0,0,0
17,M,A,15,N,M,622,622.02,descent,0,0,0
17,M,A,15,N,M,622,622.04,descent,0,0,0
17,M,A,15,N,M,622,622.05,descent,0,0,0
7,M,A,30.1,N,M,629,629.01,descent,0,1,0
105,F,A,9.6,N,without,630,630.01,descent,0,1,0
105,F,A,9.6,N,without,630,630.03,descent,0,1,0
105,F,A,9.6,N,without,630,630.05,descent,0,1,0
105,F,A,9.6,N,without,630,630.07,descent,0,1,0
105,F,A,9.6,N,without,630,630.09,descent,1,1,0
105,F,A,9.6,N,without,630,630.11,descent,0,0,0
105,F,A,9.6,N,without,630,630.13,descent,0,0,0
4,M,A,48.1,N,M,631,631.01,descent,0,0,0
27,F,A,21.1,Y,with,633,633.01,descent,0,1,0
27,F,A,21.1,Y,with,633,633.03,descent,1,1,0
27,F,A,21.1,Y,with,633,633.04,descent,0,0,0
7,M,A,30.1,N,M,635,635.01,descent,0,0,0
7,M,A,30.1,N,M,635,635.03,descent,0,0,0
2,M,A,25,N,M,644,644.01,descent,0,0,0
2,M,A,25,N,M,644,644.02,descent,1,0,0
4,M,A,48.1,N,M,645,645.01,descent,0,1,0
102,M,A,23.8,N,M,650,650.01,descent,0,1,1
102,M,A,23.8,N,M,650,650.02,descent,0,1,1
102,M,A,23.8,N,M,650,650.03,descent,1,1,1
102,M,A,23.8,N,M,650,650.04,descent,0,1,1
102,M,A,23.8,N,M,650,650.05,descent,0,1,0
102,M,A,23.8,N,M,650,650.07,descent,0,1,0
111,M,A,21.2,N,M,651,651.01,descent,0,1,0
111,M,A,21.2,N,M,651,651.03,descent,0,1,0
90,F,A,20.2,Y,with,652,652.02,descent,0,1,0
86,M,A,16.3,N,M,654,654.02,descent,0,0,0
81,F,A,36.2,N,without,655,655.01,descent,0,1,0
113,M,A,21.1,N,M,660,660.01,descent,0,1,0
25,M,A,24.1,N,M,661,661.01,descent,0,1,0
25,M,A,24.1,N,M,661,661.03,descent,0,1,0
25,M,A,24.1,N,M,661,661.05,descent,0,1,0
7,M,A,30.1,N,M,662,662.01,descent,0,1,0
7,M,A,30.1,N,M,662,662.02,descent,0,0,0
4,M,A,48.1,N,M,663,663.01,descent,0,1,0
4,M,A,48.1,N,M,663,663.02,descent,0,0,0
12,M,A,23.1,N,M,664,664.01,descent,0,1,0
12,M,A,23.1,N,M,664,664.03,descent,0,1,0
12,M,A,23.1,N,M,664,664.05,descent,0,1,0
12,M,A,23.1,N,M,664,664.06,descent,0,1,0
12,M,A,23.1,N,M,664,664.07,descent,0,0,0
12,M,A,23.1,N,M,664,664.09,descent,0,0,0
102,M,A,23.8,N,M,668,668.01,descent,0,1,0
102,M,A,23.8,N,M,668,668.03,descent,0,0,0
102,M,A,23.8,N,M,668,668.05,descent,0,0,0
12,M,A,23.1,N,M,671,671.03,descent,0,0,0
12,M,A,23.1,N,M,671,671.05,descent,0,0,0
17,M,A,15.1,N,M,673,673.01,descent,0,1,0
97,F,A,30.2,Y,with,681,681.01,descent,0,1,0
97,F,A,30.2,Y,with,681,681.03,descent,0,1,0
97,F,A,30.2,Y,with,681,681.05,descent,0,0,0
97,F,A,30.2,Y,with,681,681.07,descent,0,0,0
95,F,A,15.8,Y,with,683,683.01,descent,0,1,0
95,F,A,15.8,Y,with,683,683.02,descent,0,0,0
95,F,A,15.8,Y,with,683,683.03,descent,0,0,0
95,F,A,15.8,Y,with,683,683.04,descent,0,0,0
114,F,A,28.9,Y,with,687,687.01,descent,0,0,0
111,M,A,21.2,N,M,690,690.01,descent,0,1,0
111,M,A,21.2,N,M,690,690.03,descent,1,0,0
111,M,A,21.2,N,M,690,690.04,descent,0,0,0
49,F,A,15.1,N,without,694,694.01,descent,0,1,0
49,F,A,15.1,N,without,694,694.03,descent,0,1,0
94,M,A,34.2,N,M,696,696.01,descent,0,0,0
94,M,A,34.2,N,M,696,696.03,descent,0,0,0
82,F,A,20.2,N,without,699,699.02,descent,0,0,0
49,F,A,15.1,N,without,701,701.01,descent,0,1,0
49,F,A,15.1,N,without,701,701.02,descent,0,0,0
49,F,A,15.1,N,without,701,701.04,descent,0,0,0
102,M,A,23.8,N,M,702,702.01,descent,0,0,0
102,M,A,23.8,N,M,702,702.03,descent,0,0,0
49,F,A,15.1,N,without,705,705.01,descent,0,0,0
49,F,A,15.1,N,without,705,705.02,descent,0,0,0
94,M,A,34.2,N,M,706,706.01,descent,0,0,0
64,M,A,27.2,N,M,711,711.03,descent,0,1,0
117,F,A,19.7,Y,with,720,720.01,descent,0,0,0
81,F,A,36.2,N,without,722,722.02,descent,0,1,0
118,M,A,25.2,N,M,723,723.02,descent,0,1,0
117,F,A,19.7,Y,with,726,726.01,descent,0,0,0
111,M,A,21.2,N,M,727,727.01,descent,0,1,0
119,F,A,65.2,N,without,729,729.01,descent,0,1,0
26,M,A,19.1,N,M,731,731.03,descent,0,1,0
26,M,A,19.1,N,M,731,731.04,descent,0,0,0
9,M,A,20.1,N,M,732,732.01,descent,0,1,0
9,M,A,20.1,N,M,732,732.02,descent,0,0,0
9,M,A,20.1,N,M,732,732.03,descent,0,0,0
8,M,A,31.1,N,M,733,733.01,descent,0,1,1
8,M,A,31.1,N,M,733,733.03,descent,0,1,1
44,F,A,23.6,Y,with,735,735.01,descent,0,1,1
44,F,A,23.6,Y,with,735,735.02,descent,0,1,1
54,F,A,25.8,N,without,737,737.02,descent,0,0,0
54,F,A,25.8,N,without,737,737.03,descent,0,0,0
